text,scenario_id,standard_name,relevance,role,unit,source,group_id,split,training_angle
CLINKER.FCAO,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:separator_noise,d19848f3ca484954,external_train,separator_noise
CLINKER_FCAO(percent),cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:unit_parenthesis,fd76cc3e65eb2bc5,external_train,unit_parenthesis
CLINKER_FCAO__percent__AI,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:unit_channel_mix,0a0c796ae2b78315,external_train,unit_channel_mix
DCS-A-CLINKER_FCAO-PV-07,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:dcs_vendor_envelope,28d77a174ebdd74b,external_train,dcs_vendor_envelope
DCS-A-FREE_LIME-PV-07,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:dcs_vendor_envelope,17f76d51a68b31ca,external_train,dcs_vendor_envelope
DCS-A-clinker_free_lime-PV-07,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:dcs_vendor_envelope,37c3969dd675a577,external_train,dcs_vendor_envelope
DCS-A-游离钙-PV-07,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:dcs_vendor_envelope,12084ff7c40fa575,external_train,dcs_vendor_envelope
DCS-A-熟料游离钙-PV-07,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:dcs_vendor_envelope,82c60a6c77dab25a,external_train,dcs_vendor_envelope
FREE.LIME,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:separator_noise,5a9c61cb4f9b4aca,external_train,separator_noise
FREE_LIME(percent),cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:unit_parenthesis,e6643009d173d169,external_train,unit_parenthesis
FREE_LIME__percent__AI,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:unit_channel_mix,daed4a99bbd0e4b4,external_train,unit_channel_mix
PLC01.CLINKER_FCAO.VALUE,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:plc_vendor_envelope,59c88942f42d255f,external_train,plc_vendor_envelope
PLC01.FREE_LIME.VALUE,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:plc_vendor_envelope,ca457a51684f2c14,external_train,plc_vendor_envelope
PLC01.clinker_free_lime.VALUE,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:plc_vendor_envelope,12e741b8ea58c26d,external_train,plc_vendor_envelope
PLC01.游离钙.VALUE,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:plc_vendor_envelope,0536d97eb5fd4f24,external_train,plc_vendor_envelope
PLC01.熟料游离钙.VALUE,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:plc_vendor_envelope,21dddf5d7e237f70,external_train,plc_vendor_envelope
clinker.free.lime,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:separator_noise,193fd9669a8134d5,external_train,separator_noise
clinker_fcao_raw,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:case_and_suffix_noise,9d113c75fff0648f,external_train,case_and_suffix_noise
clinker_free_lime(percent),cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:unit_parenthesis,4401d1c8eabc92d0,external_train,unit_parenthesis
clinker_free_lime__percent__AI,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:unit_channel_mix,a88e39bf8e3091ad,external_train,unit_channel_mix
clinker_free_lime_raw,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:case_and_suffix_noise,716b2850aa0f6a87,external_train,case_and_suffix_noise
free_lime_raw,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:case_and_suffix_noise,2c37c9d009b2c6e3,external_train,case_and_suffix_noise
游离钙,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:separator_noise,ba9c06b02da80626,external_train,separator_noise
游离钙(percent),cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:unit_parenthesis,ad6a60b194139fb5,external_train,unit_parenthesis
游离钙__percent__AI,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:unit_channel_mix,1e7e4859a58c3bbb,external_train,unit_channel_mix
游离钙_raw,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:case_and_suffix_noise,ad7bab6985fc2429,external_train,case_and_suffix_noise
熟料游离钙,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:separator_noise,e0d7b2d66424f966,external_train,separator_noise
熟料游离钙(percent),cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:unit_parenthesis,6c8ee40fde4407da,external_train,unit_parenthesis
熟料游离钙__percent__AI,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:unit_channel_mix,82b7487e7f2a527d,external_train,unit_channel_mix
熟料游离钙_raw,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:case_and_suffix_noise,15b959006c1e8736,external_train,case_and_suffix_noise
2号线_出窑熟料温度_测点A12,cement_rotary_kiln,clinker_temperature,useful,state,degC,multi_angle:equipment_channel_context,422364ae4aafc591,external_train,equipment_channel_context
2号线_熟料温度_测点A12,cement_rotary_kiln,clinker_temperature,useful,state,degC,multi_angle:equipment_channel_context,ae55f25ec5da815f,external_train,equipment_channel_context
DCS-A-出窑熟料温度-PV-07,cement_rotary_kiln,clinker_temperature,useful,state,degC,multi_angle:dcs_vendor_envelope,24151b0a34c1146b,external_train,dcs_vendor_envelope
DCS-A-熟料温度-PV-07,cement_rotary_kiln,clinker_temperature,useful,state,degC,multi_angle:dcs_vendor_envelope,31c3fb645d9c14df,external_train,dcs_vendor_envelope
PLC01.出窑熟料温度.VALUE,cement_rotary_kiln,clinker_temperature,useful,state,degC,multi_angle:plc_vendor_envelope,03f04046cfca1f0a,external_train,plc_vendor_envelope
PLC01.熟料温度.VALUE,cement_rotary_kiln,clinker_temperature,useful,state,degC,multi_angle:plc_vendor_envelope,77353723ca9e2727,external_train,plc_vendor_envelope
出窑熟料温度,cement_rotary_kiln,clinker_temperature,useful,state,degC,multi_angle:separator_noise,33e9c324aefd1279,external_train,separator_noise
出窑熟料温度(degC),cement_rotary_kiln,clinker_temperature,useful,state,degC,multi_angle:unit_parenthesis,74dd4df04ff4fbd1,external_train,unit_parenthesis
出窑熟料温度__degC__AI,cement_rotary_kiln,clinker_temperature,useful,state,degC,multi_angle:unit_channel_mix,11fc94f424cbb49a,external_train,unit_channel_mix
出窑熟料温度_raw,cement_rotary_kiln,clinker_temperature,useful,state,degC,multi_angle:case_and_suffix_noise,4a3c92ef2b2a66d2,external_train,case_and_suffix_noise
熟料温度,cement_rotary_kiln,clinker_temperature,useful,state,degC,multi_angle:separator_noise,c838fbde624df165,external_train,separator_noise
熟料温度(degC),cement_rotary_kiln,clinker_temperature,useful,state,degC,multi_angle:unit_parenthesis,7e1407bc441bbfc0,external_train,unit_parenthesis
熟料温度__degC__AI,cement_rotary_kiln,clinker_temperature,useful,state,degC,multi_angle:unit_channel_mix,49503942104351cd,external_train,unit_channel_mix
熟料温度_raw,cement_rotary_kiln,clinker_temperature,useful,state,degC,multi_angle:case_and_suffix_noise,86cb5dfc40c21f31,external_train,case_and_suffix_noise
2号线_COAL_FEED_测点A12,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:equipment_channel_context,34dd908b02ca84c3,external_train,equipment_channel_context
2号线_KILN_COAL_FEED_测点A12,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:equipment_channel_context,a193be42915fb33a,external_train,equipment_channel_context
2号线_coal_feed_测点A12,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:equipment_channel_context,124a02ee1e5c9bea,external_train,equipment_channel_context
2号线_喂煤量_测点A12,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:equipment_channel_context,3c7316cf531f9656,external_train,equipment_channel_context
2号线_窑头煤量_测点A12,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:equipment_channel_context,a65de5709ee3cefa,external_train,equipment_channel_context
COAL.FEED,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:separator_noise,d411760846eff2f9,external_train,separator_noise
COAL_FEED(t/h),cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:unit_parenthesis,8e493da110d28b88,external_train,unit_parenthesis
COAL_FEED__t/h__AI,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:unit_channel_mix,2fa44da5fb062316,external_train,unit_channel_mix
DCS-A-COAL_FEED-PV-07,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:dcs_vendor_envelope,a65c791f4f6cfc96,external_train,dcs_vendor_envelope
DCS-A-KILN_COAL_FEED-PV-07,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:dcs_vendor_envelope,c75ccc19fe4852fd,external_train,dcs_vendor_envelope
DCS-A-coal_feed-PV-07,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:dcs_vendor_envelope,bd0195cd15cb93f2,external_train,dcs_vendor_envelope
DCS-A-喂煤量-PV-07,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:dcs_vendor_envelope,1d4c69f65e4a9d95,external_train,dcs_vendor_envelope
DCS-A-窑头煤量-PV-07,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:dcs_vendor_envelope,39c6561fd0d274d4,external_train,dcs_vendor_envelope
KILN.COAL.FEED,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:separator_noise,9f300c793e33c5f3,external_train,separator_noise
KILN_COAL_FEED(t/h),cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:unit_parenthesis,791b48b2d2dbc1cf,external_train,unit_parenthesis
KILN_COAL_FEED__t/h__AI,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:unit_channel_mix,e81c4755b0e3265c,external_train,unit_channel_mix
PLC01.COAL_FEED.VALUE,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:plc_vendor_envelope,e2b81895ed03b267,external_train,plc_vendor_envelope
PLC01.KILN_COAL_FEED.VALUE,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:plc_vendor_envelope,084b1ef8c7c177c0,external_train,plc_vendor_envelope
PLC01.coal_feed.VALUE,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:plc_vendor_envelope,34c8936937fcf5cd,external_train,plc_vendor_envelope
PLC01.喂煤量.VALUE,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:plc_vendor_envelope,1c17d0b5dc9bf768,external_train,plc_vendor_envelope
PLC01.窑头煤量.VALUE,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:plc_vendor_envelope,a5f4d532998e6ecb,external_train,plc_vendor_envelope
coal.feed,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:separator_noise,1693a37eaafc24d6,external_train,separator_noise
coal_feed(t/h),cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:unit_parenthesis,9a0d63b59f71d058,external_train,unit_parenthesis
coal_feed__t/h__AI,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:unit_channel_mix,684a711c7b009d92,external_train,unit_channel_mix
coal_feed_raw,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:case_and_suffix_noise,edb771f00a2ae1a5,external_train,case_and_suffix_noise
kiln_coal_feed_raw,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:case_and_suffix_noise,30780647c6a98d1e,external_train,case_and_suffix_noise
喂煤量,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:separator_noise,12329ddda17f51a8,external_train,separator_noise
喂煤量(t/h),cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:unit_parenthesis,9db83061edc9fbcc,external_train,unit_parenthesis
喂煤量__t/h__AI,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:unit_channel_mix,194a847d9b2b94e6,external_train,unit_channel_mix
喂煤量_raw,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:case_and_suffix_noise,f295d811a43b95c4,external_train,case_and_suffix_noise
窑头煤量,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:separator_noise,dc53dccf9a19220a,external_train,separator_noise
窑头煤量(t/h),cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:unit_parenthesis,ac0a866904bc9daf,external_train,unit_parenthesis
窑头煤量__t/h__AI,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:unit_channel_mix,a8fad023f62c7455,external_train,unit_channel_mix
窑头煤量_raw,cement_rotary_kiln,coal_feed,required,manipulated,t/h,multi_angle:case_and_suffix_noise,3bad076f6045a00a,external_train,case_and_suffix_noise
2号线_ID_FAN_SPEED_测点A12,cement_rotary_kiln,id_fan_speed,useful,manipulated,rpm,multi_angle:equipment_channel_context,2307ee27e92575d8,external_train,equipment_channel_context
2号线_id_fan_speed_测点A12,cement_rotary_kiln,id_fan_speed,useful,manipulated,rpm,multi_angle:equipment_channel_context,67b13762146e27dd,external_train,equipment_channel_context
2号线_高温风机转速_测点A12,cement_rotary_kiln,id_fan_speed,useful,manipulated,rpm,multi_angle:equipment_channel_context,483dc64efcdc3dc4,external_train,equipment_channel_context
DCS-A-ID_FAN_SPEED-PV-07,cement_rotary_kiln,id_fan_speed,useful,manipulated,rpm,multi_angle:dcs_vendor_envelope,e7fc3bb7976a39e2,external_train,dcs_vendor_envelope
DCS-A-id_fan_speed-PV-07,cement_rotary_kiln,id_fan_speed,useful,manipulated,rpm,multi_angle:dcs_vendor_envelope,02a92ee9be794444,external_train,dcs_vendor_envelope
DCS-A-高温风机转速-PV-07,cement_rotary_kiln,id_fan_speed,useful,manipulated,rpm,multi_angle:dcs_vendor_envelope,014aad026c83c63b,external_train,dcs_vendor_envelope
ID.FAN.SPEED,cement_rotary_kiln,id_fan_speed,useful,manipulated,rpm,multi_angle:separator_noise,a83bc82e77cd27e1,external_train,separator_noise
ID_FAN_SPEED(rpm),cement_rotary_kiln,id_fan_speed,useful,manipulated,rpm,multi_angle:unit_parenthesis,aaba3467b904a6b4,external_train,unit_parenthesis
ID_FAN_SPEED__rpm__AI,cement_rotary_kiln,id_fan_speed,useful,manipulated,rpm,multi_angle:unit_channel_mix,4bc18daeaef19c50,external_train,unit_channel_mix
PLC01.ID_FAN_SPEED.VALUE,cement_rotary_kiln,id_fan_speed,useful,manipulated,rpm,multi_angle:plc_vendor_envelope,9b7fb0c4f17f715a,external_train,plc_vendor_envelope
PLC01.id_fan_speed.VALUE,cement_rotary_kiln,id_fan_speed,useful,manipulated,rpm,multi_angle:plc_vendor_envelope,99409fb08eca38e9,external_train,plc_vendor_envelope
PLC01.高温风机转速.VALUE,cement_rotary_kiln,id_fan_speed,useful,manipulated,rpm,multi_angle:plc_vendor_envelope,b4e7b5298c3eba0a,external_train,plc_vendor_envelope
id.fan.speed,cement_rotary_kiln,id_fan_speed,useful,manipulated,rpm,multi_angle:separator_noise,de41db5efa52743d,external_train,separator_noise
id_fan_speed(rpm),cement_rotary_kiln,id_fan_speed,useful,manipulated,rpm,multi_angle:unit_parenthesis,808552ecbd428903,external_train,unit_parenthesis
id_fan_speed__rpm__AI,cement_rotary_kiln,id_fan_speed,useful,manipulated,rpm,multi_angle:unit_channel_mix,8d026f5b0fe8f7fa,external_train,unit_channel_mix
id_fan_speed_raw,cement_rotary_kiln,id_fan_speed,useful,manipulated,rpm,multi_angle:case_and_suffix_noise,7031a19f62e91573,external_train,case_and_suffix_noise
高温风机转速,cement_rotary_kiln,id_fan_speed,useful,manipulated,rpm,multi_angle:separator_noise,66741b884871e61e,external_train,separator_noise
高温风机转速(rpm),cement_rotary_kiln,id_fan_speed,useful,manipulated,rpm,multi_angle:unit_parenthesis,c5ad779b1ae4de5f,external_train,unit_parenthesis
高温风机转速__rpm__AI,cement_rotary_kiln,id_fan_speed,useful,manipulated,rpm,multi_angle:unit_channel_mix,70155e6182fd658d,external_train,unit_channel_mix
高温风机转速_raw,cement_rotary_kiln,id_fan_speed,useful,manipulated,rpm,multi_angle:case_and_suffix_noise,0fdb9faac02122b0,external_train,case_and_suffix_noise
2号线_KILN_CURRENT_测点A12,cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:equipment_channel_context,579e3da0770079b7,external_train,equipment_channel_context
2号线_kiln_current_测点A12,cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:equipment_channel_context,22b4cb565af00cfc,external_train,equipment_channel_context
2号线_主传电流_测点A12,cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:equipment_channel_context,19034106d112bc7a,external_train,equipment_channel_context
2号线_窑主电机电流_测点A12,cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:equipment_channel_context,610c5b19c3543cdf,external_train,equipment_channel_context
DCS-A-KILN_CURRENT-PV-07,cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:dcs_vendor_envelope,927ea5b7643f2e42,external_train,dcs_vendor_envelope
DCS-A-kiln_current-PV-07,cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:dcs_vendor_envelope,574d81c76e278410,external_train,dcs_vendor_envelope
DCS-A-主传电流-PV-07,cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:dcs_vendor_envelope,16ed6d55195b9a85,external_train,dcs_vendor_envelope
DCS-A-窑主电机电流-PV-07,cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:dcs_vendor_envelope,155d48abd8be3c6b,external_train,dcs_vendor_envelope
KILN.CURRENT,cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:separator_noise,395214da1c3fd920,external_train,separator_noise
KILN_CURRENT(A),cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:unit_parenthesis,f37ad129c50c698b,external_train,unit_parenthesis
KILN_CURRENT__A__AI,cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:unit_channel_mix,c02731247db8d317,external_train,unit_channel_mix
PLC01.KILN_CURRENT.VALUE,cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:plc_vendor_envelope,02633ae11cbdb63b,external_train,plc_vendor_envelope
PLC01.kiln_current.VALUE,cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:plc_vendor_envelope,9cbc6edb56b502f0,external_train,plc_vendor_envelope
PLC01.主传电流.VALUE,cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:plc_vendor_envelope,73cbe9739b00d83e,external_train,plc_vendor_envelope
PLC01.窑主电机电流.VALUE,cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:plc_vendor_envelope,ce136299a54832cc,external_train,plc_vendor_envelope
kiln.current,cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:separator_noise,4d75e73025dac6c1,external_train,separator_noise
kiln_current(A),cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:unit_parenthesis,953b0740dd6214e0,external_train,unit_parenthesis
kiln_current__A__AI,cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:unit_channel_mix,8abce0d783093228,external_train,unit_channel_mix
kiln_current_raw,cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:case_and_suffix_noise,bfe8e0a169e8b97f,external_train,case_and_suffix_noise
主传电流,cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:separator_noise,02987856df166652,external_train,separator_noise
主传电流(A),cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:unit_parenthesis,0e703aa08dc67b26,external_train,unit_parenthesis
主传电流__A__AI,cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:unit_channel_mix,722fca5ba1439167,external_train,unit_channel_mix
主传电流_raw,cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:case_and_suffix_noise,5347fb029039ba74,external_train,case_and_suffix_noise
窑主电机电流,cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:separator_noise,ae05d899395463c5,external_train,separator_noise
窑主电机电流(A),cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:unit_parenthesis,2b055decf6fea925,external_train,unit_parenthesis
窑主电机电流__A__AI,cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:unit_channel_mix,36a95aae665b76e6,external_train,unit_channel_mix
窑主电机电流_raw,cement_rotary_kiln,kiln_current,useful,state,A,multi_angle:case_and_suffix_noise,852f2cdb896cd4e5,external_train,case_and_suffix_noise
2号线_kiln_inlet_o2_测点A12,cement_rotary_kiln,kiln_inlet_o2,useful,state,percent,multi_angle:equipment_channel_context,50b44785b21538b4,external_train,equipment_channel_context
2号线_窑尾含氧量_测点A12,cement_rotary_kiln,kiln_inlet_o2,useful,state,percent,multi_angle:equipment_channel_context,61f20565e571306a,external_train,equipment_channel_context
2号线_窑尾氧量_测点A12,cement_rotary_kiln,kiln_inlet_o2,useful,state,percent,multi_angle:equipment_channel_context,50357704ac68fc9e,external_train,equipment_channel_context
DCS-A-kiln_inlet_o2-PV-07,cement_rotary_kiln,kiln_inlet_o2,useful,state,percent,multi_angle:dcs_vendor_envelope,044bee46a1be984e,external_train,dcs_vendor_envelope
DCS-A-窑尾含氧量-PV-07,cement_rotary_kiln,kiln_inlet_o2,useful,state,percent,multi_angle:dcs_vendor_envelope,378d0a1c9c22b34d,external_train,dcs_vendor_envelope
DCS-A-窑尾氧量-PV-07,cement_rotary_kiln,kiln_inlet_o2,useful,state,percent,multi_angle:dcs_vendor_envelope,54743ced46caa83a,external_train,dcs_vendor_envelope
PLC01.kiln_inlet_o2.VALUE,cement_rotary_kiln,kiln_inlet_o2,useful,state,percent,multi_angle:plc_vendor_envelope,bf4f3653d254fb96,external_train,plc_vendor_envelope
