采集时间,塔顶温度(℃),塔顶压力(kPa),回流流量(t/h),后续流程流量(t/h),第六塔板温度(℃),塔底温度A(℃),塔底温度B(℃),C4浓度(%)
2026-07-01 03:20:00,63.403,643.074,85.39,115.94,82.019,113.879,114.248,1.243
2026-07-01 03:21:00,63.292,641.16,85.716,115.386,82.079,114.011,114.328,1.228
2026-07-01 03:22:00,63.47,644.239,85.148,115.343,82.155,114.002,114.216,1.224
2026-07-01 03:23:00,63.262,643.806,85.639,115.564,82.235,114.141,114.466,1.207
2026-07-01 03:24:00,63.329,644.97,85.174,115.352,82.102,114.145,114.487,1.235
2026-07-01 03:25:00,63.235,642.25,84.975,115.216,82.37,113.898,114.112,1.257
2026-07-01 03:26:00,63.435,643.78,85.445,115.216,82.071,113.969,114.249,1.246
2026-07-01 03:27:00,63.462,642.704,85.276,115.517,82.087,113.919,114.214,1.243
2026-07-01 03:28:00,63.228,641.381,85.039,115.286,82.23,114.106,114.145,1.23
2026-07-01 03:29:00,63.402,642.582,84.944,115.443,82.181,113.75,114.025,1.215
2026-07-01 03:30:00,63.365,642.889,85.283,115.362,82.315,113.949,114.175,1.224
2026-07-01 03:31:00,63.37,643.697,84.633,115.069,82.188,113.932,114.154,1.212
2026-07-01 03:32:00,63.367,640.215,85.254,115.245,82.288,113.834,113.967,1.236
2026-07-01 03:33:00,63.326,641.263,84.993,115.021,82.176,113.886,113.974,1.213
2026-07-01 03:34:00,63.395,642.873,85.379,115.284,82.118,113.946,114.071,1.23
2026-07-01 03:35:00,63.352,641.492,84.877,115.373,82.056,114.017,114.198,1.26
2026-07-01 03:36:00,63.369,644.977,84.735,114.729,82.042,113.897,114.111,1.213
2026-07-01 03:37:00,63.497,643.998,84.487,115.1,82.248,113.893,113.981,1.22
2026-07-01 03:38:00,63.378,640.639,85.1,114.482,82.192,113.923,113.97,1.235
2026-07-01 03:39:00,63.32,641.795,84.476,114.828,82.016,113.814,113.813,1.239
2026-07-01 03:40:00,63.36,643.773,84.651,114.342,82.081,114.042,114.156,1.231
2026-07-01 03:41:00,63.293,643.295,84.146,114.632,82.06,113.845,113.83,1.221
2026-07-01 03:42:00,63.431,641.892,84.265,114.659,82.303,114.035,113.86,1.253
2026-07-01 03:43:00,63.413,645.912,84.148,114.588,82.079,113.945,113.697,1.224
2026-07-01 03:44:00,63.472,642.31,84.369,115.234,82.139,114.037,114.063,1.222
2026-07-01 03:45:00,63.381,642.659,84.235,114.22,82.071,113.821,113.791,1.232
2026-07-01 03:46:00,63.361,643.54,84.04,114.217,82.053,113.653,113.541,1.217
2026-07-01 03:47:00,63.287,641.95,84.61,114.154,82.276,113.926,113.795,1.248
2026-07-01 03:48:00,63.41,644.095,84.156,114.708,82.233,113.986,113.886,1.223
2026-07-01 03:49:00,63.402,641.197,84.574,114.465,82.113,113.859,113.734,1.229
2026-07-01 03:50:00,63.379,642.489,83.794,114.308,82.135,113.896,113.726,1.225
2026-07-01 03:51:00,63.455,642.215,84.33,114.678,81.887,113.953,113.774,1.235
2026-07-01 03:52:00,63.446,643.834,84.281,113.916,81.907,113.907,113.595,1.231
2026-07-01 03:53:00,63.365,644.616,84.53,113.768,82.164,113.775,113.668,1.215
2026-07-01 03:54:00,63.382,640.045,84.244,113.333,82.166,113.819,113.54,1.235
2026-07-01 03:55:00,63.375,643.614,84.025,114.011,81.923,113.906,113.587,1.23
2026-07-01 03:56:00,63.48,640.633,83.66,114.009,82.188,113.864,113.565,1.251
2026-07-01 03:57:00,63.444,641.022,83.47,113.832,82.163,113.909,113.643,1.243
2026-07-01 03:58:00,63.402,641.914,83.858,112.994,81.953,113.936,113.57,1.236
2026-07-01 03:59:00,63.526,645.254,83.514,113.307,81.941,114.031,113.671,1.223
2026-07-01 04:00:00,63.398,642.4,83.463,113.388,81.878,113.877,113.527,1.257
2026-07-01 04:01:00,63.338,642.722,83.461,113.609,82.052,113.812,113.4,1.233
2026-07-01 04:02:00,63.299,640.603,83.353,113.343,82.052,114.013,113.651,1.22
2026-07-01 04:03:00,63.326,641.84,83.513,113.165,82.066,113.96,113.608,1.232
2026-07-01 04:04:00,63.439,641.639,83.505,113.757,82.024,113.968,113.576,1.224
2026-07-01 04:05:00,63.432,642.221,83.423,113.15,82.124,113.967,113.616,1.235
2026-07-01 04:06:00,63.407,641.819,83.447,112.782,81.922,113.866,113.433,1.249
2026-07-01 04:07:00,63.476,643.479,82.941,113.09,81.904,113.966,113.506,1.251
2026-07-01 04:08:00,63.284,639.658,83.605,113.517,81.95,113.91,113.556,1.241
2026-07-01 04:09:00,63.405,640.827,83.171,113.058,82.051,113.893,113.521,1.235
2026-07-01 04:10:00,63.418,640.269,83.508,113.012,81.982,113.721,113.212,1.224
2026-07-01 04:11:00,63.302,640.478,82.965,113.131,82.159,113.793,113.296,1.238
2026-07-01 04:12:00,63.423,642.164,83.131,112.719,81.934,113.781,113.375,1.244
2026-07-01 04:13:00,63.325,642.046,82.975,112.834,82.198,113.618,113.093,1.21
2026-07-01 04:14:00,63.355,641.657,82.453,112.437,81.903,113.755,113.237,1.243
2026-07-01 04:15:00,63.455,640.743,82.953,112.241,81.895,113.845,113.217,1.231
2026-07-01 04:16:00,63.354,641.662,82.8,112.516,81.988,113.758,113.163,1.228
2026-07-01 04:17:00,63.512,642.784,82.651,112.529,81.869,113.851,113.354,1.248
2026-07-01 04:18:00,63.32,640.692,82.35,112.206,81.975,113.628,112.88,1.222
2026-07-01 04:19:00,63.386,638.981,82.272,112.673,81.899,113.655,113.112,1.239
2026-07-01 04:20:00,63.395,641.66,82.43,112.959,82.057,113.895,113.165,1.222
2026-07-01 04:21:00,63.394,637.749,82.468,112.197,81.955,113.658,112.961,1.243
2026-07-01 04:22:00,63.376,638.68,82.117,112.373,82.011,113.732,113.082,1.245
2026-07-01 04:23:00,63.3,640.899,82.091,112.277,82.046,113.734,113.084,1.245
2026-07-01 04:24:00,63.507,639.064,81.838,112.45,81.945,113.92,113.301,1.232
2026-07-01 04:25:00,63.33,639.246,82.243,111.888,81.922,113.542,112.847,1.224
2026-07-01 04:26:00,63.362,639.126,81.571,111.889,82.022,113.889,113.139,1.243
2026-07-01 04:27:00,63.317,639.002,82.226,112.206,81.897,113.539,112.66,1.246
2026-07-01 04:28:00,63.425,639.58,81.743,112.692,82.03,113.631,112.839,1.264
2026-07-01 04:29:00,63.441,639.782,81.793,112.205,82.082,113.833,113.056,1.253
2026-07-01 04:30:00,63.323,638.939,81.881,111.357,81.798,113.753,113.016,1.233
2026-07-01 04:31:00,63.289,636.798,82.046,111.961,82.161,113.638,112.84,1.233
2026-07-01 04:32:00,63.351,640.116,81.962,111.535,81.91,113.809,113.113,1.221
2026-07-01 04:33:00,63.474,638.464,81.387,111.549,82.064,113.742,112.989,1.242
2026-07-01 04:34:00,63.283,637.224,81.963,111.377,81.84,113.722,112.821,1.225
2026-07-01 04:35:00,63.282,637.792,81.818,111.045,81.766,113.519,112.705,1.248
2026-07-01 04:36:00,63.386,637.577,81.413,111.782,81.951,113.676,112.814,1.237
2026-07-01 04:37:00,63.498,638.798,81.292,111.623,82.101,113.764,112.972,1.247
2026-07-01 04:38:00,63.332,637.488,81.186,110.902,81.852,113.796,112.987,1.243
2026-07-01 04:39:00,63.457,636.693,81.36,111.708,81.961,113.614,112.637,1.227
2026-07-01 04:40:00,63.375,637.67,81.262,111.285,82.03,113.741,112.766,1.239
2026-07-01 04:41:00,63.324,635.491,80.876,111.377,81.898,113.631,112.69,1.238
2026-07-01 04:42:00,63.315,638.838,80.718,111.633,82.037,113.526,112.655,1.229
2026-07-01 04:43:00,63.403,637.006,80.94,111.804,81.851,113.871,112.896,1.226
2026-07-01 04:44:00,63.371,635.103,80.879,110.646,81.673,113.638,112.792,1.229
2026-07-01 04:45:00,63.436,636.45,81.306,111.415,82.045,113.649,112.519,1.231
2026-07-01 04:46:00,63.249,635.979,81.274,110.873,81.921,113.466,112.452,1.231
2026-07-01 04:47:00,63.438,635.637,80.375,110.834,81.975,113.714,112.616,1.225
2026-07-01 04:48:00,63.388,637.781,80.981,111.016,82.01,113.698,112.695,1.231
2026-07-01 04:49:00,63.321,636.381,80.6,110.687,81.97,113.552,112.624,1.232
2026-07-01 04:50:00,63.471,636.82,80.425,110.873,82.023,113.639,112.593,1.23
2026-07-01 04:51:00,63.368,636.094,80.833,111.05,81.943,113.661,112.749,1.21
2026-07-01 04:52:00,63.291,636.011,80.485,110.247,82.028,113.738,112.603,1.246
2026-07-01 04:53:00,63.44,636.591,80.826,110.347,81.801,113.604,112.622,1.245
2026-07-01 04:54:00,63.244,636.066,80.237,110.586,81.967,113.601,112.582,1.231
2026-07-01 04:55:00,63.307,635.283,80.781,110.853,81.922,113.623,112.434,1.248
2026-07-01 04:56:00,63.296,635.5,80.109,110.591,81.989,113.94,112.89,1.241
2026-07-01 04:57:00,63.349,636.186,80.451,110.445,82.005,113.456,112.354,1.235
2026-07-01 04:58:00,63.339,635.025,80.077,110.612,81.917,113.589,112.609,1.246
2026-07-01 04:59:00,63.284,634.511,80.488,110.296,81.841,113.631,112.377,1.258
2026-07-01 05:00:00,63.39,635.354,80.12,110.45,81.846,113.515,112.357,1.244
2026-07-01 05:01:00,63.315,636.473,79.744,109.933,81.939,113.628,112.531,1.251
2026-07-01 05:02:00,63.354,637.202,79.765,110.455,81.932,113.631,112.536,1.228
2026-07-01 05:03:00,63.286,632.885,80.221,109.98,81.841,113.723,112.684,1.227
2026-07-01 05:04:00,63.385,636.881,79.887,109.876,81.877,113.755,112.73,1.227
2026-07-01 05:05:00,63.314,636.56,79.421,109.963,81.775,113.822,112.809,1.233
2026-07-01 05:06:00,63.376,635.105,80.466,110.715,81.963,113.699,112.522,1.248
