text,scenario_id,scenario_name,split
统一精馏塔历史数据字段,distillation_column,化工精馏塔,train
识别这批精馏塔DCS测点,distillation_column,化工精馏塔,validation
判断精馏塔数据是否满足建模字段要求,distillation_column,化工精馏塔,train
把精馏塔变量转换成标准格式,distillation_column,化工精馏塔,train
检查精馏塔文件缺少哪些必需字段,distillation_column,化工精馏塔,train
这是精馏塔运行数据,distillation_column,化工精馏塔,train
统一塔顶历史数据字段,distillation_column,化工精馏塔,test
识别这批塔顶DCS测点,distillation_column,化工精馏塔,train
判断塔顶数据是否满足建模字段要求,distillation_column,化工精馏塔,train
把塔顶变量转换成标准格式,distillation_column,化工精馏塔,test
检查塔顶文件缺少哪些必需字段,distillation_column,化工精馏塔,train
这是塔顶运行数据,distillation_column,化工精馏塔,test
统一塔釜历史数据字段,distillation_column,化工精馏塔,validation
识别这批塔釜DCS测点,distillation_column,化工精馏塔,train
判断塔釜数据是否满足建模字段要求,distillation_column,化工精馏塔,train
把塔釜变量转换成标准格式,distillation_column,化工精馏塔,train
检查塔釜文件缺少哪些必需字段,distillation_column,化工精馏塔,test
这是塔釜运行数据,distillation_column,化工精馏塔,train
统一回流历史数据字段,distillation_column,化工精馏塔,train
识别这批回流DCS测点,distillation_column,化工精馏塔,validation
判断回流数据是否满足建模字段要求,distillation_column,化工精馏塔,validation
把回流变量转换成标准格式,distillation_column,化工精馏塔,train
检查回流文件缺少哪些必需字段,distillation_column,化工精馏塔,test
这是回流运行数据,distillation_column,化工精馏塔,train
统一distillation历史数据字段,distillation_column,化工精馏塔,validation
识别这批distillationDCS测点,distillation_column,化工精馏塔,train
判断distillation数据是否满足建模字段要求,distillation_column,化工精馏塔,train
把distillation变量转换成标准格式,distillation_column,化工精馏塔,train
检查distillation文件缺少哪些必需字段,distillation_column,化工精馏塔,train
这是distillation运行数据,distillation_column,化工精馏塔,train
统一钢厂历史数据字段,steel_reheating_furnace,钢厂步进梁式加热炉,validation
识别这批钢厂DCS测点,steel_reheating_furnace,钢厂步进梁式加热炉,train
判断钢厂数据是否满足建模字段要求,steel_reheating_furnace,钢厂步进梁式加热炉,validation
把钢厂变量转换成标准格式,steel_reheating_furnace,钢厂步进梁式加热炉,validation
检查钢厂文件缺少哪些必需字段,steel_reheating_furnace,钢厂步进梁式加热炉,test
这是钢厂运行数据,steel_reheating_furnace,钢厂步进梁式加热炉,train
统一冶金历史数据字段,steel_reheating_furnace,钢厂步进梁式加热炉,train
识别这批冶金DCS测点,steel_reheating_furnace,钢厂步进梁式加热炉,train
判断冶金数据是否满足建模字段要求,steel_reheating_furnace,钢厂步进梁式加热炉,train
把冶金变量转换成标准格式,steel_reheating_furnace,钢厂步进梁式加热炉,validation
检查冶金文件缺少哪些必需字段,steel_reheating_furnace,钢厂步进梁式加热炉,validation
这是冶金运行数据,steel_reheating_furnace,钢厂步进梁式加热炉,train
统一加热炉历史数据字段,steel_reheating_furnace,钢厂步进梁式加热炉,train
识别这批加热炉DCS测点,steel_reheating_furnace,钢厂步进梁式加热炉,train
判断加热炉数据是否满足建模字段要求,steel_reheating_furnace,钢厂步进梁式加热炉,train
把加热炉变量转换成标准格式,steel_reheating_furnace,钢厂步进梁式加热炉,train
检查加热炉文件缺少哪些必需字段,steel_reheating_furnace,钢厂步进梁式加热炉,train
这是加热炉运行数据,steel_reheating_furnace,钢厂步进梁式加热炉,train
统一步进梁历史数据字段,steel_reheating_furnace,钢厂步进梁式加热炉,train
识别这批步进梁DCS测点,steel_reheating_furnace,钢厂步进梁式加热炉,train
判断步进梁数据是否满足建模字段要求,steel_reheating_furnace,钢厂步进梁式加热炉,train
把步进梁变量转换成标准格式,steel_reheating_furnace,钢厂步进梁式加热炉,train
检查步进梁文件缺少哪些必需字段,steel_reheating_furnace,钢厂步进梁式加热炉,train
这是步进梁运行数据,steel_reheating_furnace,钢厂步进梁式加热炉,validation
统一钢坯历史数据字段,steel_reheating_furnace,钢厂步进梁式加热炉,test
识别这批钢坯DCS测点,steel_reheating_furnace,钢厂步进梁式加热炉,train
判断钢坯数据是否满足建模字段要求,steel_reheating_furnace,钢厂步进梁式加热炉,train
把钢坯变量转换成标准格式,steel_reheating_furnace,钢厂步进梁式加热炉,validation
检查钢坯文件缺少哪些必需字段,steel_reheating_furnace,钢厂步进梁式加热炉,train
这是钢坯运行数据,steel_reheating_furnace,钢厂步进梁式加热炉,train
统一板坯历史数据字段,steel_reheating_furnace,钢厂步进梁式加热炉,train
识别这批板坯DCS测点,steel_reheating_furnace,钢厂步进梁式加热炉,train
判断板坯数据是否满足建模字段要求,steel_reheating_furnace,钢厂步进梁式加热炉,train
把板坯变量转换成标准格式,steel_reheating_furnace,钢厂步进梁式加热炉,test
检查板坯文件缺少哪些必需字段,steel_reheating_furnace,钢厂步进梁式加热炉,train
这是板坯运行数据,steel_reheating_furnace,钢厂步进梁式加热炉,train
统一电厂历史数据字段,thermal_power_boiler,火电燃煤锅炉,train
识别这批电厂DCS测点,thermal_power_boiler,火电燃煤锅炉,train
判断电厂数据是否满足建模字段要求,thermal_power_boiler,火电燃煤锅炉,train
把电厂变量转换成标准格式,thermal_power_boiler,火电燃煤锅炉,train
检查电厂文件缺少哪些必需字段,thermal_power_boiler,火电燃煤锅炉,validation
这是电厂运行数据,thermal_power_boiler,火电燃煤锅炉,train
统一火电历史数据字段,thermal_power_boiler,火电燃煤锅炉,test
识别这批火电DCS测点,thermal_power_boiler,火电燃煤锅炉,train
判断火电数据是否满足建模字段要求,thermal_power_boiler,火电燃煤锅炉,train
把火电变量转换成标准格式,thermal_power_boiler,火电燃煤锅炉,train
检查火电文件缺少哪些必需字段,thermal_power_boiler,火电燃煤锅炉,train
这是火电运行数据,thermal_power_boiler,火电燃煤锅炉,train
统一锅炉历史数据字段,thermal_power_boiler,火电燃煤锅炉,train
识别这批锅炉DCS测点,thermal_power_boiler,火电燃煤锅炉,test
判断锅炉数据是否满足建模字段要求,thermal_power_boiler,火电燃煤锅炉,test
把锅炉变量转换成标准格式,thermal_power_boiler,火电燃煤锅炉,train
检查锅炉文件缺少哪些必需字段,thermal_power_boiler,火电燃煤锅炉,train
这是锅炉运行数据,thermal_power_boiler,火电燃煤锅炉,train
统一煤粉历史数据字段,thermal_power_boiler,火电燃煤锅炉,validation
识别这批煤粉DCS测点,thermal_power_boiler,火电燃煤锅炉,train
判断煤粉数据是否满足建模字段要求,thermal_power_boiler,火电燃煤锅炉,train
把煤粉变量转换成标准格式,thermal_power_boiler,火电燃煤锅炉,train
检查煤粉文件缺少哪些必需字段,thermal_power_boiler,火电燃煤锅炉,train
这是煤粉运行数据,thermal_power_boiler,火电燃煤锅炉,train
统一汽包历史数据字段,thermal_power_boiler,火电燃煤锅炉,train
识别这批汽包DCS测点,thermal_power_boiler,火电燃煤锅炉,train
判断汽包数据是否满足建模字段要求,thermal_power_boiler,火电燃煤锅炉,train
把汽包变量转换成标准格式,thermal_power_boiler,火电燃煤锅炉,train
检查汽包文件缺少哪些必需字段,thermal_power_boiler,火电燃煤锅炉,train
这是汽包运行数据,thermal_power_boiler,火电燃煤锅炉,train
统一主蒸汽历史数据字段,thermal_power_boiler,火电燃煤锅炉,train
识别这批主蒸汽DCS测点,thermal_power_boiler,火电燃煤锅炉,validation
判断主蒸汽数据是否满足建模字段要求,thermal_power_boiler,火电燃煤锅炉,train
把主蒸汽变量转换成标准格式,thermal_power_boiler,火电燃煤锅炉,train
检查主蒸汽文件缺少哪些必需字段,thermal_power_boiler,火电燃煤锅炉,train
这是主蒸汽运行数据,thermal_power_boiler,火电燃煤锅炉,train
统一污水历史数据字段,wastewater_aeration,污水生化曝气池,test
识别这批污水DCS测点,wastewater_aeration,污水生化曝气池,train
判断污水数据是否满足建模字段要求,wastewater_aeration,污水生化曝气池,train
把污水变量转换成标准格式,wastewater_aeration,污水生化曝气池,train
检查污水文件缺少哪些必需字段,wastewater_aeration,污水生化曝气池,test
这是污水运行数据,wastewater_aeration,污水生化曝气池,train
统一水处理历史数据字段,wastewater_aeration,污水生化曝气池,train
识别这批水处理DCS测点,wastewater_aeration,污水生化曝气池,validation
判断水处理数据是否满足建模字段要求,wastewater_aeration,污水生化曝气池,train
把水处理变量转换成标准格式,wastewater_aeration,污水生化曝气池,validation
检查水处理文件缺少哪些必需字段,wastewater_aeration,污水生化曝气池,train
这是水处理运行数据,wastewater_aeration,污水生化曝气池,test
统一曝气池历史数据字段,wastewater_aeration,污水生化曝气池,validation
识别这批曝气池DCS测点,wastewater_aeration,污水生化曝气池,validation
判断曝气池数据是否满足建模字段要求,wastewater_aeration,污水生化曝气池,train
把曝气池变量转换成标准格式,wastewater_aeration,污水生化曝气池,test
检查曝气池文件缺少哪些必需字段,wastewater_aeration,污水生化曝气池,validation
这是曝气池运行数据,wastewater_aeration,污水生化曝气池,train
统一活性污泥历史数据字段,wastewater_aeration,污水生化曝气池,validation
识别这批活性污泥DCS测点,wastewater_aeration,污水生化曝气池,validation
判断活性污泥数据是否满足建模字段要求,wastewater_aeration,污水生化曝气池,validation
把活性污泥变量转换成标准格式,wastewater_aeration,污水生化曝气池,train
检查活性污泥文件缺少哪些必需字段,wastewater_aeration,污水生化曝气池,train
这是活性污泥运行数据,wastewater_aeration,污水生化曝气池,train
统一溶解氧历史数据字段,wastewater_aeration,污水生化曝气池,train
识别这批溶解氧DCS测点,wastewater_aeration,污水生化曝气池,train
判断溶解氧数据是否满足建模字段要求,wastewater_aeration,污水生化曝气池,train
把溶解氧变量转换成标准格式,wastewater_aeration,污水生化曝气池,train
检查溶解氧文件缺少哪些必需字段,wastewater_aeration,污水生化曝气池,train
这是溶解氧运行数据,wastewater_aeration,污水生化曝气池,train
统一wastewater历史数据字段,wastewater_aeration,污水生化曝气池,train
识别这批wastewaterDCS测点,wastewater_aeration,污水生化曝气池,train
判断wastewater数据是否满足建模字段要求,wastewater_aeration,污水生化曝气池,train
把wastewater变量转换成标准格式,wastewater_aeration,污水生化曝气池,test
检查wastewater文件缺少哪些必需字段,wastewater_aeration,污水生化曝气池,validation
这是wastewater运行数据,wastewater_aeration,污水生化曝气池,test
